"","Type","Part","Mant_cor","p_val","cor.p"
"1","Bacterial","Air",0.174240154666392,0.272,"1"
"2","Bacterial","Axil",0.0748676445362576,0.362,"1"
"3","Bacterial","Leaf",0.213279445147762,0.147,"1"
"4","Bacterial","Litter",0.279724328649547,0.139,"1"
"5","Bacterial","Petiole",0.187275791281739,0.204,"1"
"6","Bacterial","Root",0.444418064636199,0.002,"0.016"
"7","Bacterial","Soil",0.0443046325306081,0.401,"1"
"8","Bacterial","Stem",0.244815528895351,0.19,"1"
"9","Fungal","Air",0.613139325093411,0.007,"0.056"
"10","Fungal","Axil",0.225379291571647,0.176,"1"
"11","Fungal","Leaf",0.113840929122159,0.197,"1"
"12","Fungal","Litter",0.598086349604504,0.003,"0.024"
"13","Fungal","Petiole",0.670244300908555,0.001,"0.008"
"14","Fungal","Root",0.699868195068792,0.001,"0.008"
"15","Fungal","Soil",0.673698277808688,0.008,"0.064"
"16","Fungal","Stem",0.555220754871767,0.003,"0.024"
"17","Bacterial","All",0.1163743066876,0.001,"NA"
"18","Fungal","All",0.364119879704116,0.001,"NA"
